City,Margao
Risk_Score,48
Risk_Level,Medium
ONNX_20yr_Baseline,1.3

Date,Historical_Temp_C,Historical_Humidity_%,Forecast_Temp_C,Predicted_UHI_Delta_C
2026-04-16,29.1,75,,
2026-04-17,28.9,73,,
2026-04-18,29.4,73,,
2026-04-19,29.6,79,,
2026-04-20,30.6,73,,
2026-04-21,29.9,74,,
2026-04-22,30.6,72,,
2026-04-23,30.1,74,,
2026-04-24,30,79,,
2026-04-25,31,77,,
2026-04-26,30.8,78,,
2026-04-27,30.3,75,,
2026-04-28,30,78,,
2026-04-29,30.8,74,,
2026-04-30,30.9,73,,
2026-05-01,30.4,73,,
2026-05-02,29.3,77,,
2026-05-03,30.3,70,,
2026-05-04,30.1,71,,
2026-05-05,30.2,75,,
2026-05-06,31.5,63,,
2026-05-07,29.9,70,,
2026-05-08,30.7,72,,
2026-05-09,31.3,69,,
2026-05-10,30.7,75,,
2026-05-11,30.6,80,,
2026-05-12,30.6,79,,
2026-05-13,30.2,79,,
2026-05-14,31.6,68,,
2026-05-15,30.8,75,,
2026-05-16,30.9,69,,
2026-05-17,30.5,73,31.1,-1.05
2026-05-18,30.6,73,31.4,-0.75
2026-05-19,30.6,74,31.6,-0.55
2026-05-20,30.2,72,31.6,-0.55
2026-05-21,30.3,73,31.4,-0.75
2026-05-22,28.9,83,31.2,-0.95
2026-05-23,,,30.9,-1.25
